Latency,Policy
828.25,Cocktail
828.3436298,Cocktail
430.4616451,Cocktail
506.218195,Cocktail
515.3825283,Cocktail
145.680666,Cocktail
145.0738907,Cocktail
671.7147827,Cocktail
427.3078442,Cocktail
364.2878532,Cocktail
372.3695278,Cocktail
231.2581539,Cocktail
234.3313694,Cocktail
798.4223366,Cocktail
324.5623112,Cocktail
486.502409,Cocktail
492.2060966,Cocktail
195.9080696,Cocktail
128.7834644,Cocktail
673.6252308,Cocktail
325.0436783,Cocktail
474.5342731,Cocktail
348.4899998,Cocktail
199.7561455,Cocktail
127.3026466,Cocktail
674.2706299,Cocktail
425.6334305,Cocktail
344.9790478,Cocktail
483.330965,Cocktail
206.9272995,Cocktail
207.4959278,Cocktail
802.1490574,Cocktail
327.1539211,Cocktail
344.3653584,Cocktail
478.6128998,Cocktail
128.8392544,Cocktail
193.677187,Cocktail
670.2127457,Cocktail
424.6788025,Cocktail
475.6503105,Cocktail
481.595993,Cocktail
128.787756,Cocktail
192.4161911,Cocktail
831.5684795,Cocktail
331.6013813,Cocktail
410.8138084,Cocktail
411.3030434,Cocktail
136.4383698,Cocktail
140.8538818,Cocktail
670.7251072,Cocktail
424.362421,Cocktail
341.5715694,Cocktail
476.9775867,Cocktail
211.8935585,Cocktail
221.5800285,Cocktail
671.7131138,Cocktail
323.3273029,Cocktail
581.2859535,Cocktail
587.0494843,Cocktail
127.8166771,Cocktail
193.2489872,Cocktail
792.2618389,Cocktail
423.2034683,Cocktail
348.7195969,Cocktail
472.6388454,Cocktail
196.7949867,Cocktail
126.9373894,Cocktail
667.9158211,Cocktail
322.7844238,Cocktail
345.0257778,Cocktail
481.1687469,Cocktail
194.0248013,Cocktail
125.9870529,Cocktail
665.4217243,Cocktail
421.5972424,Cocktail
455.6987286,Cocktail
587.7151489,Cocktail
193.600893,Cocktail
125.7519722,Cocktail
816.7626858,Cocktail
323.3537674,Cocktail
380.9998035,Cocktail
526.6952515,Cocktail
327.6469707,Cocktail
327.1670341,Cocktail
666.5334702,Cocktail
423.7089157,Cocktail
484.757185,Cocktail
344.6307182,Cocktail
140.4426098,Cocktail
142.4050331,Cocktail
797.8026867,Cocktail
321.2068081,Cocktail
373.7690449,Cocktail
375.5016327,Cocktail
192.4750805,Cocktail
125.1404285,Cocktail
668.0116653,Cocktail
422.0421314,Cocktail
482.4812412,Cocktail
346.8108177,Cocktail
194.6833134,Cocktail
127.0153522,Cocktail
668.0996418,Cocktail
321.8650818,Cocktail
377.2771358,Cocktail
525.2659321,Cocktail
207.8518867,Cocktail
212.6533985,Cocktail
791.3725376,Cocktail
422.3763943,Cocktail
491.669178,Cocktail
348.7591743,Cocktail
229.8336029,Cocktail
300.01688,Cocktail
663.9685631,Cocktail
324.3508339,Cocktail
659.099102,Cocktail
665.1296616,Cocktail
139.7387981,Cocktail
144.6385384,Cocktail
792.7298546,Cocktail
422.02425,Cocktail
359.9598408,Cocktail
360.9099388,Cocktail
194.7317123,Cocktail
125.4255772,Cocktail
665.3769016,Cocktail
323.2984543,Cocktail
534.870863,Cocktail
536.7517471,Cocktail
211.6658688,Cocktail
218.0042267,Cocktail
795.1979637,Cocktail
420.2725887,Cocktail
347.0318317,Cocktail
484.1444492,Cocktail
185.8906746,Cocktail
189.1715527,Cocktail
674.8323441,Cocktail
324.7599602,Cocktail
344.1491127,Cocktail
479.6271324,Cocktail
192.7330494,Cocktail
125.8170605,Cocktail
821.655035,Cocktail
440.005064,Cocktail
339.7631645,Cocktail
195.7118511,Cocktail
125.3323555,Cocktail
673.5596657,Cocktail
324.8829842,Cocktail
346.7285633,Cocktail
485.4755402,Cocktail
206.3417435,Cocktail
216.3267136,Cocktail
665.5273438,Cocktail
441.0121441,Cocktail
368.9632416,Cocktail
515.2294636,Cocktail
126.4772415,Cocktail
190.0136471,Cocktail
863.4688854,Cocktail
332.2811127,Cocktail
424.5197773,Cocktail
594.3863392,Cocktail
193.8664913,Cocktail
124.5422363,Cocktail
696.6869831,Cocktail
456.9826126,Cocktail
346.7452526,Cocktail
501.2152195,Cocktail
194.1325665,Cocktail
124.891758,Cocktail
693.0890083,Cocktail
334.2523575,Cocktail
481.3737869,Cocktail
346.1415768,Cocktail
194.1010952,Cocktail
125.2501011,Cocktail
860.8736992,Cocktail
464.5175934,Cocktail
463.0300999,Cocktail
616.6946888,Cocktail
192.7406788,Cocktail
125.1256466,Cocktail
663.6526585,Cocktail
318.0088997,Cocktail
348.0021954,Cocktail
484.8809242,Cocktail
210.2994919,Cocktail
215.3172493,Cocktail
834.9704742,Cocktail
452.1291256,Cocktail
385.9393597,Cocktail
392.6570415,Cocktail
134.3438625,Cocktail
202.9230595,Cocktail
652.2028446,Cocktail
306.3662052,Cocktail
347.8996754,Cocktail
486.9840145,Cocktail
229.0406227,Cocktail
230.373621,Cocktail
800.7342815,Cocktail
428.5135269,Cocktail
465.2752876,Cocktail
