"batchId ,",1.0,",overall_accuracy, ",77.5,",step_accuracy, ",77.5,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'DenseNet201': 1, 'ResNet50': 1, 'InceptionResNetV2': 1})",",",10,",",None
"batchId ,",2.0,",overall_accuracy, ",77.5,",step_accuracy, ",77.5,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'DenseNet201': 1, 'ResNet50': 1, 'InceptionResNetV2': 1})",",",10,",",None
"batchId ,",3.0,",overall_accuracy, ",78.83333333333333,",step_accuracy, ",81.5,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'DenseNet201': 1, 'InceptionResNetV2': 1})",",",7,",","[[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f89b45d4320>)], [('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8acc3035f8>)], [('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8b04231c18>)]]"
"batchId ,",4.0,",overall_accuracy, ",77.5,",step_accuracy, ",73.5,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'DenseNet201': 1, 'InceptionResNetV2': 1, 'MobileNet': 1})",",",8,",",['MobileNet']
"batchId ,",5.0,",overall_accuracy, ",77.4,",step_accuracy, ",77.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'DenseNet201': 1, 'InceptionResNetV2': 1, 'MobileNet': 1})",",",8,",",None
"batchId ,",6.0,",overall_accuracy, ",77.08333333333334,",step_accuracy, ",75.5,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'DenseNet201': 1, 'InceptionResNetV2': 1, 'MobileNet': 1})",",",8,",",None
"batchId ,",7.0,",overall_accuracy, ",76.21428571428571,",step_accuracy, ",71.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'DenseNet201': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",9,",",['MobileNetV2']
"batchId ,",8.0,",overall_accuracy, ",76.625,",step_accuracy, ",79.5,",models, ","Counter({'InceptionV3': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'DenseNet201': 1, 'InceptionResNetV2': 1})",",",5,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f88b8b282b0>]], [('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8b2c633588>)], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f88b844b898>]], [('Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8a540b3390>)]]"
"batchId ,",9.0,",overall_accuracy, ",77.38888888888889,",step_accuracy, ",83.5,",models, ","Counter({'DenseNet121': 1, 'DenseNet201': 1, 'InceptionResNetV2': 1})",",",3,",","[[('InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8b4c50f470>)], [('NASNetMobile', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8a5468c4e0>)]]"
"batchId ,",10.0,",overall_accuracy, ",77.3,",step_accuracy, ",76.5,",models, ","Counter({'DenseNet121': 1, 'DenseNet201': 1, 'InceptionResNetV2': 1})",",",3,",",None
"batchId ,",11.0,",overall_accuracy, ",77.04545454545455,",step_accuracy, ",74.5,",models, ","Counter({'DenseNet121': 1, 'DenseNet201': 1, 'InceptionResNetV2': 1})",",",3,",",None
"batchId ,",12.0,",overall_accuracy, ",76.54166666666666,",step_accuracy, ",71.0,",models, ","Counter({'DenseNet121': 1, 'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1})",",",4,",",['NASNetMobile']
"batchId ,",13.0,",overall_accuracy, ",76.57692307692308,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet121': 1, 'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1})",",",4,",",None
"batchId ,",14.0,",overall_accuracy, ",76.25,",step_accuracy, ",72.0,",models, ","Counter({'DenseNet121': 1, 'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'Xception': 1})",",",5,",",['Xception']
