"batchId ,",1.0,",overall_accuracy, ",77.5,",step_accuracy, ",77.5,",models, ","Counter({'ResNet50': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'NASNetMobile': 1})",",",6,",","[[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5ec02ea2b0>)], [('Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5eb4173dd8>)]]"
"batchId ,",2.0,",overall_accuracy, ",77.25,",step_accuracy, ",77.0,",models, ","Counter({'ResNet50': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'NASNetMobile': 1})",",",6,",",None
"batchId ,",3.0,",overall_accuracy, ",77.66666666666666,",step_accuracy, ",78.5,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'NASNetMobile': 1})",",",5,",","[[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5f2041f3c8>)]]"
"batchId ,",4.0,",overall_accuracy, ",76.125,",step_accuracy, ",71.5,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1})",",",6,",",['Xception']
"batchId ,",5.0,",overall_accuracy, ",76.5,",step_accuracy, ",78.0,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1})",",",4,",","[[('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5eb46e22b0>)], [('DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5e54257748>)]]"
"batchId ,",6.0,",overall_accuracy, ",76.08333333333334,",step_accuracy, ",74.0,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1})",",",4,",",None
"batchId ,",7.0,",overall_accuracy, ",75.64285714285714,",step_accuracy, ",73.0,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1})",",",5,",",['DenseNet121']
"batchId ,",8.0,",overall_accuracy, ",76.0625,",step_accuracy, ",79.0,",models, ","Counter({'InceptionV3': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",3,",","[[('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5e9c2471d0>)], [['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5d0c4a5080>]]]"
"batchId ,",9.0,",overall_accuracy, ",76.61111111111111,",step_accuracy, ",81.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1})",",",2,",","[[('InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5ee01d0898>)]]"
"batchId ,",10.0,",overall_accuracy, ",76.05,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",3,",",['Xception']
"batchId ,",11.0,",overall_accuracy, ",75.72727272727273,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
