time,Bline,BPred,RScale,Fifer,model1,model2,model3
0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
40,0,0,0,5.2,0,0,0
60,0,0,0,10.4,0,0,0
80,0,0,0,13,0,0,0
100,0,0,0,15.6,0,0,0
120,0,0,0,15.6,0,0,0
140,28.6,0,22.8,15.6,19.6625,23.2375,10.725
160,28.6,0,38,18.2,19.6625,23.2375,10.725
180,28.6,0,38,18.2,19.6625,23.2375,10.725
200,28.6,0,41.8,20.8,19.6625,23.2375,10.725
220,13.2,2.2,49.4,20.8,9.075,10.725,4.95
240,26.4,4.4,49.4,20.8,18.15,21.45,9.9
260,33,66,49.4,20.8,22.6875,26.8125,12.375
280,33,68.2,49.4,20.8,22.6875,26.8125,12.375
300,46.2,68.2,49.4,20.8,31.7625,37.5375,17.325
320,50.6,74.8,53.2,20.8,34.7875,41.1125,18.975
340,59.4,74.8,53.2,20.8,40.8375,48.2625,22.275
360,66,79.2,53.2,20.8,45.375,53.625,24.75
380,70.4,81.4,53.2,20.8,48.4,57.2,26.4
400,70.4,85.8,53.2,20.8,48.4,57.2,26.4
420,77,88,53.2,20.8,52.9375,62.5625,28.875
440,79.2,92.4,53.2,20.8,54.45,64.35,29.7
460,83.6,92.4,53.2,20.8,57.475,67.925,31.35
480,88,92.4,53.2,20.8,60.5,71.5,33
500,92.4,92.4,53.2,20.8,63.525,75.075,34.65
520,92.4,92.4,53.2,20.8,63.525,75.075,34.65
540,96.8,92.4,53.2,20.8,66.55,78.65,36.3
560,96.8,92.4,53.2,20.8,66.55,78.65,36.3
580,99,94.6,53.2,20.8,68.0625,80.4375,37.125
600,105.6,94.6,53.2,20.8,72.6,85.8,39.6
620,110,96.8,53.2,20.8,75.625,89.375,41.25
640,118.8,96.8,53.2,20.8,81.675,96.525,44.55
660,125.4,96.8,53.2,20.8,86.2125,101.8875,47.025
680,132,101.2,53.2,20.8,90.75,107.25,49.5
700,132,101.2,53.2,20.8,90.75,107.25,49.5
720,132,101.2,53.2,20.8,90.75,107.25,49.5
740,132,101.2,53.2,20.8,90.75,107.25,49.5
760,132,103.4,53.2,20.8,90.75,107.25,49.5
780,138.6,105.6,53.2,20.8,95.2875,112.6125,51.975
800,138.6,105.6,53.2,20.8,95.2875,112.6125,51.975
820,138.6,110,53.2,20.8,95.2875,112.6125,51.975
840,140.8,114.4,53.2,20.8,96.8,114.4,52.8
860,140.8,114.4,53.2,20.8,96.8,114.4,52.8
880,140.8,118.8,53.2,20.8,96.8,114.4,52.8
900,140.8,118.8,53.2,20.8,96.8,114.4,52.8
920,140.8,123.2,53.2,20.8,96.8,114.4,52.8
940,140.8,123.2,53.2,20.8,96.8,114.4,52.8
960,140.8,123.2,53.2,20.8,96.8,114.4,52.8
980,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1000,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1020,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1040,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1060,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1080,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1100,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1120,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1140,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1160,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1180,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1200,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1220,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1240,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1260,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1280,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1300,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1320,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1340,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1360,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1380,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1400,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1420,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1440,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1460,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1480,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1500,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1520,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1540,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1560,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1580,140.8,123.2,53.2,20.8,96.8,114.4,52.8
1600,140.8,123.2,53.2,20.8,96.8,114.4,52.8
