"batchId ,",1.0,",overall_accuracy, ",79.0,",step_accuracy, ",79.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",5,",","[[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdcf8269a20>)], [('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdc88322d30>)]]"
"batchId ,",2.0,",overall_accuracy, ",76.0,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",3.0,",overall_accuracy, ",74.0,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'MobileNet': 1})",",",6,",",['MobileNet']
"batchId ,",4.0,",overall_accuracy, ",75.75,",step_accuracy, ",81.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",5,",","[[('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdc343c63c8>)]]"
"batchId ,",5.0,",overall_accuracy, ",75.4,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",5,",",None
"batchId ,",6.0,",overall_accuracy, ",76.33333333333333,",step_accuracy, ",81.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",","[[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdc886ef978>)]]"
"batchId ,",7.0,",overall_accuracy, ",76.0,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",8.0,",overall_accuracy, ",74.625,",step_accuracy, ",65.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
"batchId ,",9.0,",overall_accuracy, ",75.22222222222223,",step_accuracy, ",80.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",3,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdb70574908>]], [('DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdc5031d668>)]]"
"batchId ,",10.0,",overall_accuracy, ",75.2,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",3,",",None
"batchId ,",11.0,",overall_accuracy, ",75.0,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",3,",",None
"batchId ,",12.0,",overall_accuracy, ",75.08333333333333,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",3,",",None
"batchId ,",13.0,",overall_accuracy, ",75.15384615384615,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",3,",",None
"batchId ,",14.0,",overall_accuracy, ",74.64285714285714,",step_accuracy, ",68.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",15.0,",overall_accuracy, ",74.8,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",3,",","[[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdb686b4a58>]]]"
"batchId ,",16.0,",overall_accuracy, ",75.125,",step_accuracy, ",80.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1})",",",2,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdb386f5160>]]]"
"batchId ,",17.0,",overall_accuracy, ",75.17647058823529,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1})",",",2,",",None
"batchId ,",18.0,",overall_accuracy, ",75.05555555555556,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1})",",",2,",",None
"batchId ,",19.0,",overall_accuracy, ",74.89473684210526,",step_accuracy, ",72.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",3,",",['DenseNet121']
"batchId ,",20.0,",overall_accuracy, ",74.65,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
