"batchId ,",1.0,",overall_accuracy, ",77.0,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet121': 1, 'ResNet50': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'InceptionV3': 1})",",",5,",","[[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f05e441a0f0>)], [('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f065c66c908>)]]"
"batchId ,",2.0,",overall_accuracy, ",77.0,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet121': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'InceptionV3': 1})",",",4,",","[[('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f05dc0c0ef0>)]]"
"batchId ,",3.0,",overall_accuracy, ",77.16666666666666,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet121': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'InceptionV3': 1})",",",4,",",None
"batchId ,",4.0,",overall_accuracy, ",74.875,",step_accuracy, ",68.0,",models, ","Counter({'DenseNet121': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",5,",",['MobileNet']
"batchId ,",5.0,",overall_accuracy, ",74.7,",step_accuracy, ",74.0,",models, ","Counter({'DenseNet121': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",5,",",None
"batchId ,",6.0,",overall_accuracy, ",74.33333333333333,",step_accuracy, ",72.5,",models, ","Counter({'DenseNet121': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",5,",",None
"batchId ,",7.0,",overall_accuracy, ",73.85714285714286,",step_accuracy, ",71.0,",models, ","Counter({'DenseNet121': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",",['MobileNetV2']
"batchId ,",8.0,",overall_accuracy, ",74.4375,",step_accuracy, ",78.5,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",","[[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f05dc49c7f0>)]]"
"batchId ,",9.0,",overall_accuracy, ",74.94444444444444,",step_accuracy, ",79.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1})",",",3,",","[[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f04282b6828>]], [['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f0454135908>]]]"
"batchId ,",10.0,",overall_accuracy, ",74.7,",step_accuracy, ",72.5,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1})",",",3,",",None
"batchId ,",11.0,",overall_accuracy, ",74.54545454545455,",step_accuracy, ",73.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1})",",",3,",",None
"batchId ,",12.0,",overall_accuracy, ",73.875,",step_accuracy, ",66.5,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",13.0,",overall_accuracy, ",73.96153846153845,",step_accuracy, ",75.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",14.0,",overall_accuracy, ",73.53571428571428,",step_accuracy, ",68.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
"batchId ,",15.0,",overall_accuracy, ",73.76666666666667,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1})",",",3,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f04106d7cc0>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f03e07c26d8>]]]"
"batchId ,",16.0,",overall_accuracy, ",73.5625,",step_accuracy, ",70.5,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",17.0,",overall_accuracy, ",73.8529411764706,",step_accuracy, ",78.5,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",3,",","[[('DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f06083530f0>)]]"
"batchId ,",18.0,",overall_accuracy, ",73.38888888888889,",step_accuracy, ",65.5,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",19.0,",overall_accuracy, ",73.3157894736842,",step_accuracy, ",72.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
"batchId ,",20.0,",overall_accuracy, ",73.45,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",21.0,",overall_accuracy, ",73.5,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",5,",",None
