"batchId ,",1.0,",overall_accuracy, ",76.0,",step_accuracy, ",76.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",2.0,",overall_accuracy, ",75.1,",step_accuracy, ",74.2,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",3.0,",overall_accuracy, ",74.73333333333333,",step_accuracy, ",74.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",4.0,",overall_accuracy, ",75.44999999999999,",step_accuracy, ",77.60000000000001,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'NASNetMobile': 1})",",",5,",","[[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdc040b6160>)], [('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdc047f5a20>)]]"
"batchId ,",5.0,",overall_accuracy, ",74.64,",step_accuracy, ",71.39999999999999,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1})",",",6,",",['ResNet50V2']
"batchId ,",6.0,",overall_accuracy, ",74.5,",step_accuracy, ",73.8,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",7.0,",overall_accuracy, ",74.4,",step_accuracy, ",73.8,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",8.0,",overall_accuracy, ",74.35000000000001,",step_accuracy, ",74.0,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",9.0,",overall_accuracy, ",74.44444444444444,",step_accuracy, ",75.2,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",10.0,",overall_accuracy, ",74.66000000000001,",step_accuracy, ",76.6,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1})",",",4,",","[[('InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdc146d0710>)], [('DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdb8c1a7390>)]]"
"batchId ,",11.0,",overall_accuracy, ",74.49090909090908,",step_accuracy, ",72.8,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1})",",",4,",",None
"batchId ,",12.0,",overall_accuracy, ",74.38333333333334,",step_accuracy, ",73.2,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1})",",",4,",",None
"batchId ,",13.0,",overall_accuracy, ",74.07692307692308,",step_accuracy, ",70.39999999999999,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1})",",",5,",",['DenseNet121']
"batchId ,",14.0,",overall_accuracy, ",74.11428571428571,",step_accuracy, ",74.6,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1})",",",5,",",None
"batchId ,",15.0,",overall_accuracy, ",73.89333333333333,",step_accuracy, ",70.8,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",6,",",['InceptionV3']
"batchId ,",16.0,",overall_accuracy, ",73.875,",step_accuracy, ",73.6,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",17.0,",overall_accuracy, ",73.98823529411764,",step_accuracy, ",75.8,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",18.0,",overall_accuracy, ",74.08888888888889,",step_accuracy, ",75.8,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",19.0,",overall_accuracy, ",74.23157894736843,",step_accuracy, ",76.8,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'InceptionV3': 1})",",",4,",","[[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fda5069c080>]], [['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7fd9f87351d0>]]]"
"batchId ,",20.0,",overall_accuracy, ",74.33,",step_accuracy, ",76.2,",models, ","Counter({'MobileNet': 1, 'NASNetMobile': 1, 'InceptionV3': 1})",",",3,",","[[('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdbcc197a58>)]]"
"batchId ,",21.0,",overall_accuracy, ",74.2,",step_accuracy, ",71.6,",models, ","Counter({'MobileNet': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",22.0,",overall_accuracy, ",74.11818181818181,",step_accuracy, ",72.39999999999999,",models, ","Counter({'MobileNet': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",23.0,",overall_accuracy, ",74.09565217391304,",step_accuracy, ",73.6,",models, ","Counter({'MobileNet': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",24.0,",overall_accuracy, ",74.11666666666666,",step_accuracy, ",74.6,",models, ","Counter({'MobileNet': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",25.0,",overall_accuracy, ",74.048,",step_accuracy, ",72.39999999999999,",models, ","Counter({'MobileNet': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",26.0,",overall_accuracy, ",74.1076923076923,",step_accuracy, ",75.6,",models, ","Counter({'MobileNet': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",27.0,",overall_accuracy, ",74.28148148148148,",step_accuracy, ",78.8,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",3,",","[[('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fdb6c54ef60>)]]"
"batchId ,",28.0,",overall_accuracy, ",74.17142857142856,",step_accuracy, ",71.2,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",29.0,",overall_accuracy, ",74.1103448275862,",step_accuracy, ",72.39999999999999,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",30.0,",overall_accuracy, ",74.08,",step_accuracy, ",73.2,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",31.0,",overall_accuracy, ",74.07741935483871,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",32.0,",overall_accuracy, ",73.98125,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
"batchId ,",33.0,",overall_accuracy, ",74.02424242424243,",step_accuracy, ",75.4,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",34.0,",overall_accuracy, ",73.9764705882353,",step_accuracy, ",72.39999999999999,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",35.0,",overall_accuracy, ",74.05142857142857,",step_accuracy, ",76.6,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7fd9e42e79b0>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fd99d055ac8>]]]"
