"batchId ,",1.0,",overall_accuracy, ",75.0,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",2.0,",overall_accuracy, ",75.75,",step_accuracy, ",76.5,",models, ","Counter({'MobileNet': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'ResNet50': 1, 'DenseNet121': 1})",",",5,",","[[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2da42a8f98>)], [('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2cbc77b780>)]]"
"batchId ,",3.0,",overall_accuracy, ",76.33333333333333,",step_accuracy, ",77.5,",models, ","Counter({'MobileNet': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",4,",","[[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2d246ba9e8>)]]"
"batchId ,",4.0,",overall_accuracy, ",74.875,",step_accuracy, ",70.5,",models, ","Counter({'MobileNet': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
"batchId ,",5.0,",overall_accuracy, ",75.7,",step_accuracy, ",79.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",3,",","[[('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2e1816aeb8>)], [('DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce86d80b8>)]]"
"batchId ,",6.0,",overall_accuracy, ",75.41666666666667,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",3,",",None
"batchId ,",7.0,",overall_accuracy, ",74.71428571428571,",step_accuracy, ",70.5,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",8.0,",overall_accuracy, ",75.4375,",step_accuracy, ",80.5,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",3,",","[[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2c2c614828>]]]"
"batchId ,",9.0,",overall_accuracy, ",76.0,",step_accuracy, ",80.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1})",",",2,",","[[('InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2d3c6ac6d8>)]]"
"batchId ,",10.0,",overall_accuracy, ",75.4,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",['MobileNet']
"batchId ,",11.0,",overall_accuracy, ",75.18181818181819,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",None
"batchId ,",12.0,",overall_accuracy, ",74.5,",step_accuracy, ",67.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",['MobileNetV2']
"batchId ,",13.0,",overall_accuracy, ",74.53846153846155,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",None
"batchId ,",14.0,",overall_accuracy, ",74.21428571428571,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",['InceptionV3']
"batchId ,",15.0,",overall_accuracy, ",74.36666666666667,",step_accuracy, ",76.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",3,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2bcc28bc50>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2ba83f82b0>]]]"
"batchId ,",16.0,",overall_accuracy, ",74.15625,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",17.0,",overall_accuracy, ",74.38235294117646,",step_accuracy, ",78.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",3,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2bcc64b4a8>]]]"
"batchId ,",18.0,",overall_accuracy, ",73.83333333333333,",step_accuracy, ",64.5,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",19.0,",overall_accuracy, ",73.73684210526315,",step_accuracy, ",72.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
"batchId ,",20.0,",overall_accuracy, ",73.8,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",21.0,",overall_accuracy, ",73.80952380952381,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",22.0,",overall_accuracy, ",73.56818181818183,",step_accuracy, ",68.5,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNet': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",6,",",['ResNet50V2']
"batchId ,",23.0,",overall_accuracy, ",73.86956521739131,",step_accuracy, ",80.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1})",",",4,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2b6af8d2e8>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2b695ad278>]]]"
"batchId ,",24.0,",overall_accuracy, ",74.0,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",3,",","[[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2b68efde10>]]]"
"batchId ,",25.0,",overall_accuracy, ",73.96000000000001,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",3,",",None
"batchId ,",26.0,",overall_accuracy, ",74.01923076923077,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",3,",",None
"batchId ,",27.0,",overall_accuracy, ",74.01851851851852,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",3,",",None
"batchId ,",28.0,",overall_accuracy, ",73.875,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",4,",",['MobileNetV2']
"batchId ,",29.0,",overall_accuracy, ",74.05172413793103,",step_accuracy, ",79.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",3,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2b69c866d8>]]]"
"batchId ,",30.0,",overall_accuracy, ",74.0,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",3,",",None
"batchId ,",31.0,",overall_accuracy, ",73.8225806451613,",step_accuracy, ",68.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
