"batchId ,",1.0,",overall_accuracy, ",80.0,",step_accuracy, ",80.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNet': 1, 'NASNetMobile': 1})",",",6,",","[('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3ef0770908>)]"
"batchId ,",2.0,",overall_accuracy, ",75.0,",step_accuracy, ",70.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'MobileNetV2': 1})",",",7,",",['MobileNetV2']
"batchId ,",3.0,",overall_accuracy, ",80.0,",step_accuracy, ",90.0,",models, ","Counter({'ResNet50V2': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'MobileNetV2': 1})",",",6,",","[('InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f40345d0208>)]"
"batchId ,",4.0,",overall_accuracy, ",80.0,",step_accuracy, ",80.0,",models, ","Counter({'ResNet50V2': 1, 'ResNet50': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'MobileNetV2': 1})",",",5,",","[('DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3f90709048>)]"
"batchId ,",5.0,",overall_accuracy, ",82.0,",step_accuracy, ",90.0,",models, ","Counter({'ResNet50V2': 1, 'ResNet50': 1, 'MobileNet': 1, 'NASNetMobile': 1})",",",4,",","[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3e145670b8>]]"
"batchId ,",6.0,",overall_accuracy, ",81.66666666666667,",step_accuracy, ",80.0,",models, ","Counter({'ResNet50V2': 1, 'ResNet50': 1, 'NASNetMobile': 1})",",",3,",","[('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3f90306518>)]"
"batchId ,",7.0,",overall_accuracy, ",78.57142857142857,",step_accuracy, ",60.0,",models, ","Counter({'ResNet50V2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",8.0,",overall_accuracy, ",77.5,",step_accuracy, ",70.0,",models, ","Counter({'ResNet50V2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
"batchId ,",9.0,",overall_accuracy, ",77.77777777777779,",step_accuracy, ",80.0,",models, ","Counter({'ResNet50': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",","[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f40146790f0>)]"
"batchId ,",10.0,",overall_accuracy, ",78.0,",step_accuracy, ",80.0,",models, ","Counter({'ResNet50': 1, 'NASNetMobile': 1, 'MobileNetV2': 1})",",",3,",","[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3e1426af98>]]"
"batchId ,",11.0,",overall_accuracy, ",77.27272727272727,",step_accuracy, ",70.0,",models, ","Counter({'ResNet50': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",12.0,",overall_accuracy, ",75.0,",step_accuracy, ",50.0,",models, ","Counter({'ResNet50': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",5,",",['InceptionV3']
"batchId ,",13.0,",overall_accuracy, ",74.61538461538461,",step_accuracy, ",70.0,",models, ","Counter({'ResNet50': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",6,",",['ResNet50V2']
"batchId ,",14.0,",overall_accuracy, ",74.28571428571429,",step_accuracy, ",70.0,",models, ","Counter({'ResNet50': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",15.0,",overall_accuracy, ",75.33333333333333,",step_accuracy, ",90.0,",models, ","Counter({'ResNet50': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'ResNet50V2': 1})",",",5,",","[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3db2437e80>]]"
