"batchId ,",1.0,",overall_accuracy, ",76.5,",step_accuracy, ",76.5,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1})",",",7,",",None
"batchId ,",2.0,",overall_accuracy, ",75.5,",step_accuracy, ",74.5,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1})",",",7,",",None
"batchId ,",3.0,",overall_accuracy, ",76.83333333333333,",step_accuracy, ",79.5,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1})",",",6,",","[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fee9c345518>)]"
"batchId ,",4.0,",overall_accuracy, ",75.375,",step_accuracy, ",71.0,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",5.0,",overall_accuracy, ",75.9,",step_accuracy, ",78.0,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'ResNet50': 1})",",",6,",","[('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fedc0305908>)]"
"batchId ,",6.0,",overall_accuracy, ",75.16666666666667,",step_accuracy, ",71.5,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'ResNet50': 1, 'MobileNet': 1})",",",7,",",['MobileNet']
"batchId ,",7.0,",overall_accuracy, ",74.71428571428571,",step_accuracy, ",72.0,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'ResNet50': 1, 'MobileNet': 1})",",",7,",",None
"batchId ,",8.0,",overall_accuracy, ",75.3125,",step_accuracy, ",79.5,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'ResNet50': 1})",",",6,",","[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fed405c8c18>]]"
"batchId ,",9.0,",overall_accuracy, ",75.83333333333333,",step_accuracy, ",80.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'ResNet50': 1})",",",5,",","[('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7feea42d5a20>)]"
"batchId ,",10.0,",overall_accuracy, ",75.44999999999999,",step_accuracy, ",72.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'ResNet50': 1, 'MobileNet': 1})",",",6,",",['MobileNet']
"batchId ,",11.0,",overall_accuracy, ",75.13636363636364,",step_accuracy, ",72.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'ResNet50': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",['MobileNetV2']
"batchId ,",12.0,",overall_accuracy, ",74.625,",step_accuracy, ",69.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'ResNet50': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",13.0,",overall_accuracy, ",74.96153846153845,",step_accuracy, ",79.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fed881e50f0>]]"
