"batchId ,",1.0,",overall_accuracy, ",76.66666666666667,",step_accuracy, ",76.66666666666667,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'ResNet50': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",7,",",None
"batchId ,",2.0,",overall_accuracy, ",75.95238095238095,",step_accuracy, ",75.23809523809524,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'ResNet50': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",7,",",None
"batchId ,",3.0,",overall_accuracy, ",77.46031746031747,",step_accuracy, ",80.47619047619048,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",6,",","[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f15a457e9e8>)]"
"batchId ,",4.0,",overall_accuracy, ",75.59523809523809,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",5.0,",overall_accuracy, ",75.80952380952381,",step_accuracy, ",76.66666666666667,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",6.0,",overall_accuracy, ",75.71428571428571,",step_accuracy, ",75.23809523809524,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",7.0,",overall_accuracy, ",75.3061224489796,",step_accuracy, ",72.85714285714285,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",8.0,",overall_accuracy, ",76.01190476190476,",step_accuracy, ",80.95238095238095,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",","[('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f156c6e2240>)]"
"batchId ,",9.0,",overall_accuracy, ",76.13756613756614,",step_accuracy, ",77.14285714285715,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50': 1})",",",5,",","[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f15ec5b5198>)]"
"batchId ,",10.0,",overall_accuracy, ",75.66666666666667,",step_accuracy, ",71.42857142857143,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50': 1, 'MobileNetV2': 1})",",",6,",",['MobileNetV2']
"batchId ,",11.0,",overall_accuracy, ",75.36796536796537,",step_accuracy, ",72.38095238095238,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",['ResNet50V2']
"batchId ,",12.0,",overall_accuracy, ",75.03968253968254,",step_accuracy, ",71.42857142857143,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",13.0,",overall_accuracy, ",74.7985347985348,",step_accuracy, ",71.9047619047619,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",14.0,",overall_accuracy, ",74.79591836734694,",step_accuracy, ",74.76190476190476,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",15.0,",overall_accuracy, ",74.79365079365078,",step_accuracy, ",74.76190476190476,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",16.0,",overall_accuracy, ",74.76190476190476,",step_accuracy, ",74.28571428571429,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",None
