"batchId ,",1.0,",overall_accuracy, ",75.8,",step_accuracy, ",75.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",2.0,",overall_accuracy, ",75.3,",step_accuracy, ",74.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",3.0,",overall_accuracy, ",74.93333333333332,",step_accuracy, ",74.2,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",4.0,",overall_accuracy, ",75.4,",step_accuracy, ",76.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",5.0,",overall_accuracy, ",74.56,",step_accuracy, ",71.2,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",6.0,",overall_accuracy, ",74.36666666666667,",step_accuracy, ",73.4,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",7.0,",overall_accuracy, ",74.28571428571429,",step_accuracy, ",73.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",8.0,",overall_accuracy, ",74.25,",step_accuracy, ",74.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",9.0,",overall_accuracy, ",74.28888888888889,",step_accuracy, ",74.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",10.0,",overall_accuracy, ",74.48,",step_accuracy, ",76.2,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",11.0,",overall_accuracy, ",74.50909090909092,",step_accuracy, ",74.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",12.0,",overall_accuracy, ",74.51666666666667,",step_accuracy, ",74.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",13.0,",overall_accuracy, ",74.32307692307693,",step_accuracy, ",72.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",14.0,",overall_accuracy, ",74.4,",step_accuracy, ",75.4,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
