"batchId ,",1.0,",overall_accuracy, ",76.2,",step_accuracy, ",76.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",2.0,",overall_accuracy, ",75.9,",step_accuracy, ",75.6,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",3.0,",overall_accuracy, ",75.26666666666667,",step_accuracy, ",74.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",4.0,",overall_accuracy, ",75.9,",step_accuracy, ",77.8,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",5.0,",overall_accuracy, ",75.03999999999999,",step_accuracy, ",71.6,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",6.0,",overall_accuracy, ",74.9,",step_accuracy, ",74.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",7.0,",overall_accuracy, ",74.8,",step_accuracy, ",74.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",8.0,",overall_accuracy, ",74.725,",step_accuracy, ",74.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",9.0,",overall_accuracy, ",74.55555555555556,",step_accuracy, ",73.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",10.0,",overall_accuracy, ",74.8,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",11.0,",overall_accuracy, ",74.76363636363637,",step_accuracy, ",74.4,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
