"batchId ,",1.0,",overall_accuracy, ",77.2,",step_accuracy, ",77.2,",models, ","Counter({'Xception': 1, 'ResNet50': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",6,",","[[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f20945430f0>)], [('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f208c69b198>)]]"
"batchId ,",2.0,",overall_accuracy, ",76.2,",step_accuracy, ",75.2,",models, ","Counter({'Xception': 1, 'ResNet50': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",3.0,",overall_accuracy, ",75.06666666666668,",step_accuracy, ",72.8,",models, ","Counter({'Xception': 1, 'ResNet50': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",7,",",['MobileNetV2']
"batchId ,",4.0,",overall_accuracy, ",75.85,",step_accuracy, ",78.2,",models, ","Counter({'Xception': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",5,",","[[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f21401c6048>)], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1f585240b8>]]]"
"batchId ,",5.0,",overall_accuracy, ",75.12,",step_accuracy, ",72.2,",models, ","Counter({'Xception': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",",['MobileNetV2']
"batchId ,",6.0,",overall_accuracy, ",74.96666666666667,",step_accuracy, ",74.2,",models, ","Counter({'Xception': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",7.0,",overall_accuracy, ",74.8,",step_accuracy, ",73.8,",models, ","Counter({'Xception': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",8.0,",overall_accuracy, ",74.85000000000001,",step_accuracy, ",75.2,",models, ","Counter({'Xception': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",9.0,",overall_accuracy, ",74.8,",step_accuracy, ",74.4,",models, ","Counter({'Xception': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",10.0,",overall_accuracy, ",75.06,",step_accuracy, ",77.4,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",","[[('InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f2024735dd8>)], [('DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f20f81f7ef0>)]]"
"batchId ,",11.0,",overall_accuracy, ",74.90909090909092,",step_accuracy, ",73.4,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",None
