"batchId ,",1.0,",overall_accuracy, ",78.5,",step_accuracy, ",78.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'ResNet50': 1, 'Xception': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",8,",",None
"batchId ,",2.0,",overall_accuracy, ",77.5,",step_accuracy, ",76.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'ResNet50': 1, 'Xception': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",8,",",None
"batchId ,",3.0,",overall_accuracy, ",78.16666666666666,",step_accuracy, ",79.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",7,",","[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc4506fe9b0>)]"
"batchId ,",4.0,",overall_accuracy, ",76.375,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",8,",",['ResNet50']
"batchId ,",5.0,",overall_accuracy, ",76.5,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",6.0,",overall_accuracy, ",76.16666666666667,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",7.0,",overall_accuracy, ",75.57142857142857,",step_accuracy, ",72.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",8.0,",overall_accuracy, ",76.0,",step_accuracy, ",79.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",","[('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc46c69dc50>)]"
"batchId ,",9.0,",overall_accuracy, ",76.38888888888889,",step_accuracy, ",79.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",6,",","[('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc434283f60>)]"
"batchId ,",10.0,",overall_accuracy, ",75.94999999999999,",step_accuracy, ",72.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1})",",",7,",",['MobileNet']
"batchId ,",11.0,",overall_accuracy, ",75.77272727272727,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",8,",",['MobileNetV2']
"batchId ,",12.0,",overall_accuracy, ",75.375,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",8,",",None
"batchId ,",13.0,",overall_accuracy, ",75.53846153846155,",step_accuracy, ",77.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",8,",",None
"batchId ,",14.0,",overall_accuracy, ",75.07142857142857,",step_accuracy, ",69.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",8,",",None
"batchId ,",15.0,",overall_accuracy, ",75.0,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",8,",",None
"batchId ,",16.0,",overall_accuracy, ",74.84375,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",8,",",None
"batchId ,",17.0,",overall_accuracy, ",75.11764705882354,",step_accuracy, ",79.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc3243f6208>]]"
"batchId ,",18.0,",overall_accuracy, ",74.91666666666667,",step_accuracy, ",71.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",['ResNet50']
"batchId ,",19.0,",overall_accuracy, ",74.97368421052632,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",20.0,",overall_accuracy, ",75.02499999999999,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",21.0,",overall_accuracy, ",75.0,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",22.0,",overall_accuracy, ",74.6590909090909,",step_accuracy, ",67.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",23.0,",overall_accuracy, ",74.93478260869566,",step_accuracy, ",81.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc2d41d6160>]]"
"batchId ,",24.0,",overall_accuracy, ",75.02083333333334,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",25.0,",overall_accuracy, ",75.03999999999999,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",26.0,",overall_accuracy, ",75.13461538461539,",step_accuracy, ",77.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",27.0,",overall_accuracy, ",75.20370370370371,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",28.0,",overall_accuracy, ",75.07142857142857,",step_accuracy, ",71.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",['ResNet50']
"batchId ,",29.0,",overall_accuracy, ",75.1896551724138,",step_accuracy, ",78.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",30.0,",overall_accuracy, ",75.1,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",31.0,",overall_accuracy, ",74.96774193548387,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",32.0,",overall_accuracy, ",74.890625,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",33.0,",overall_accuracy, ",74.93939393939394,",step_accuracy, ",76.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",34.0,",overall_accuracy, ",74.97058823529412,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",35.0,",overall_accuracy, ",74.91428571428571,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",36.0,",overall_accuracy, ",74.79166666666667,",step_accuracy, ",70.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",37.0,",overall_accuracy, ",74.78378378378379,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",38.0,",overall_accuracy, ",74.67105263157895,",step_accuracy, ",70.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",39.0,",overall_accuracy, ",74.65384615384615,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",40.0,",overall_accuracy, ",74.6875,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",41.0,",overall_accuracy, ",74.84146341463415,",step_accuracy, ",81.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc2c429f7f0>]]"
"batchId ,",42.0,",overall_accuracy, ",74.85714285714286,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",43.0,",overall_accuracy, ",74.84883720930232,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",['ResNet50']
"batchId ,",44.0,",overall_accuracy, ",74.85227272727273,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",45.0,",overall_accuracy, ",74.9888888888889,",step_accuracy, ",81.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",","[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc4e42e81d0>)]"
"batchId ,",46.0,",overall_accuracy, ",75.04347826086956,",step_accuracy, ",77.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",47.0,",overall_accuracy, ",75.11702127659574,",step_accuracy, ",78.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",48.0,",overall_accuracy, ",75.10416666666667,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",8,",",['ResNet50V2']
"batchId ,",49.0,",overall_accuracy, ",75.20408163265306,",step_accuracy, ",80.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc2b7b18438>]]"
"batchId ,",50.0,",overall_accuracy, ",75.22,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",51.0,",overall_accuracy, ",75.31372549019608,",step_accuracy, ",80.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",","[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc2b7448b00>]]"
"batchId ,",52.0,",overall_accuracy, ",75.24038461538461,",step_accuracy, ",71.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",['ResNet50V2']
