"batchId ,",1.0,",overall_accuracy, ",81.0,",step_accuracy, ",81.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet201': 1, 'ResNet50': 1, 'MobileNetV2': 1})",",",7,",","[[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f829c09fda0>)], [('Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8300108d30>)], [('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f82e85a77b8>)]]"
"batchId ,",2.0,",overall_accuracy, ",78.5,",step_accuracy, ",76.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet201': 1, 'ResNet50': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",3.0,",overall_accuracy, ",77.66666666666666,",step_accuracy, ",76.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet201': 1, 'ResNet50': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",4.0,",overall_accuracy, ",78.5,",step_accuracy, ",81.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'DenseNet201': 1, 'ResNet50': 1})",",",5,",","[[('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f829c760a20>)], [('NASNetMobile', <tensorflow.python.keras.engine.functional.Functional object at 0x7f839838c2b0>)]]"
"batchId ,",5.0,",overall_accuracy, ",77.8,",step_accuracy, ",75.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'DenseNet201': 1, 'ResNet50': 1})",",",5,",",None
"batchId ,",6.0,",overall_accuracy, ",78.33333333333333,",step_accuracy, ",81.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'DenseNet201': 1})",",",4,",","[[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f82d0614860>)]]"
"batchId ,",7.0,",overall_accuracy, ",78.0,",step_accuracy, ",76.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'DenseNet201': 1})",",",4,",",None
"batchId ,",8.0,",overall_accuracy, ",77.0,",step_accuracy, ",70.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",5,",",['NASNetMobile']
"batchId ,",9.0,",overall_accuracy, ",77.22222222222223,",step_accuracy, ",79.0,",models, ","Counter({'InceptionResNetV2': 1, 'InceptionV3': 1, 'DenseNet201': 1})",",",3,",","[[('DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8424060710>)], [['NASNetMobile', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8207d0c6a0>]]]"
"batchId ,",10.0,",overall_accuracy, ",76.9,",step_accuracy, ",74.0,",models, ","Counter({'InceptionResNetV2': 1, 'InceptionV3': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",4,",",['NASNetMobile']
"batchId ,",11.0,",overall_accuracy, ",76.63636363636364,",step_accuracy, ",74.0,",models, ","Counter({'InceptionResNetV2': 1, 'InceptionV3': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",5,",",['DenseNet121']
"batchId ,",12.0,",overall_accuracy, ",76.41666666666667,",step_accuracy, ",74.0,",models, ","Counter({'InceptionResNetV2': 1, 'InceptionV3': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",6,",",['Xception']
"batchId ,",13.0,",overall_accuracy, ",76.53846153846153,",step_accuracy, ",78.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",","[[('InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f835070e048>)], [['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8204b332b0>]]]"
"batchId ,",14.0,",overall_accuracy, ",75.78571428571429,",step_accuracy, ",66.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",['Xception']
"batchId ,",15.0,",overall_accuracy, ",75.8,",step_accuracy, ",76.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",16.0,",overall_accuracy, ",75.9375,",step_accuracy, ",78.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",","[[['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f82045fbc18>]], [['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f820510df98>]]]"
"batchId ,",17.0,",overall_accuracy, ",76.47058823529412,",step_accuracy, ",85.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1})",",",2,",","[[['NASNetMobile', <tensorflow.python.keras.engine.functional.Functional object at 0x7f82061980f0>]]]"
"batchId ,",18.0,",overall_accuracy, ",76.22222222222223,",step_accuracy, ",72.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",",['NASNetMobile']
"batchId ,",19.0,",overall_accuracy, ",76.26315789473685,",step_accuracy, ",77.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",",None
"batchId ,",20.0,",overall_accuracy, ",76.1,",step_accuracy, ",73.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",21.0,",overall_accuracy, ",76.04761904761905,",step_accuracy, ",75.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",22.0,",overall_accuracy, ",75.95454545454545,",step_accuracy, ",74.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",['Xception']
"batchId ,",23.0,",overall_accuracy, ",75.91304347826086,",step_accuracy, ",75.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",24.0,",overall_accuracy, ",75.625,",step_accuracy, ",69.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",['MobileNet']
"batchId ,",25.0,",overall_accuracy, ",75.48,",step_accuracy, ",72.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",['MobileNetV2']
"batchId ,",26.0,",overall_accuracy, ",75.6923076923077,",step_accuracy, ",81.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",4,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f81e04baba8>]], [['NASNetMobile', <tensorflow.python.keras.engine.functional.Functional object at 0x7f81e1f622b0>]], [['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f81e0887240>]]]"
"batchId ,",27.0,",overall_accuracy, ",75.40740740740742,",step_accuracy, ",68.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",5,",",['NASNetMobile']
"batchId ,",28.0,",overall_accuracy, ",75.46428571428572,",step_accuracy, ",77.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",5,",",None
"batchId ,",29.0,",overall_accuracy, ",75.37931034482759,",step_accuracy, ",73.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1})",",",6,",",['Xception']
