"batchId ,",1.0,",overall_accuracy, ",78.0,",step_accuracy, ",78.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'ResNet50': 1, 'InceptionResNetV2': 1})",",",10,",",None
"batchId ,",2.0,",overall_accuracy, ",77.75,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'ResNet50': 1, 'InceptionResNetV2': 1})",",",10,",",None
"batchId ,",3.0,",overall_accuracy, ",78.83333333333333,",step_accuracy, ",81.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1})",",",9,",","[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f92cc27a198>)]"
"batchId ,",4.0,",overall_accuracy, ",77.75,",step_accuracy, ",74.5,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'ResNet50': 1})",",",10,",",['ResNet50']
"batchId ,",5.0,",overall_accuracy, ",77.8,",step_accuracy, ",78.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",6.0,",overall_accuracy, ",77.58333333333334,",step_accuracy, ",76.5,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",7.0,",overall_accuracy, ",76.78571428571429,",step_accuracy, ",72.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",8.0,",overall_accuracy, ",77.3125,",step_accuracy, ",81.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'ResNet50': 1})",",",9,",","[('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f93d051ce10>)]"
"batchId ,",9.0,",overall_accuracy, ",77.94444444444444,",step_accuracy, ",83.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'ResNet50': 1})",",",8,",","[('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f934823a908>)]"
"batchId ,",10.0,",overall_accuracy, ",77.7,",step_accuracy, ",75.5,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",11.0,",overall_accuracy, ",77.54545454545455,",step_accuracy, ",76.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",12.0,",overall_accuracy, ",77.08333333333334,",step_accuracy, ",72.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'ResNet50': 1, 'MobileNet': 1})",",",9,",",['MobileNet']
"batchId ,",13.0,",overall_accuracy, ",77.07692307692308,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'ResNet50': 1, 'MobileNet': 1})",",",9,",",None
"batchId ,",14.0,",overall_accuracy, ",76.64285714285714,",step_accuracy, ",71.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'ResNet50': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",10,",",['MobileNetV2']
"batchId ,",15.0,",overall_accuracy, ",76.6,",step_accuracy, ",76.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'ResNet50': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",10,",",None
"batchId ,",16.0,",overall_accuracy, ",76.4375,",step_accuracy, ",74.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'ResNet50': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",10,",",None
"batchId ,",17.0,",overall_accuracy, ",76.61764705882354,",step_accuracy, ",79.5,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",9,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f922447d0f0>]]"
"batchId ,",18.0,",overall_accuracy, ",76.38888888888889,",step_accuracy, ",72.5,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",10,",",['ResNet50']
"batchId ,",19.0,",overall_accuracy, ",76.36842105263158,",step_accuracy, ",76.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",20.0,",overall_accuracy, ",76.35,",step_accuracy, ",76.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",21.0,",overall_accuracy, ",76.47619047619048,",step_accuracy, ",79.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",9,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f91ddae5518>]]"
"batchId ,",22.0,",overall_accuracy, ",76.13636363636364,",step_accuracy, ",69.0,",models, ","Counter({'DenseNet201': 1, 'InceptionV3': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",10,",",['ResNet50']
"batchId ,",23.0,",overall_accuracy, ",76.32608695652175,",step_accuracy, ",80.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",9,",","[('InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f93ec6f5198>)]"
"batchId ,",24.0,",overall_accuracy, ",76.35416666666667,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",9,",",None
"batchId ,",25.0,",overall_accuracy, ",76.36,",step_accuracy, ",76.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",9,",",None
"batchId ,",26.0,",overall_accuracy, ",76.46153846153845,",step_accuracy, ",79.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",8,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f91dd392470>]]"
"batchId ,",27.0,",overall_accuracy, ",76.53703703703704,",step_accuracy, ",78.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",8,",",None
"batchId ,",28.0,",overall_accuracy, ",76.41071428571429,",step_accuracy, ",73.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",9,",",['InceptionV3']
"batchId ,",29.0,",overall_accuracy, ",76.62068965517241,",step_accuracy, ",82.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",8,",","[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f93a86144a8>)]"
"batchId ,",30.0,",overall_accuracy, ",76.51666666666667,",step_accuracy, ",73.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",9,",",['ResNet50V2']
"batchId ,",31.0,",overall_accuracy, ",76.45161290322581,",step_accuracy, ",74.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",['ResNet50']
"batchId ,",32.0,",overall_accuracy, ",76.375,",step_accuracy, ",74.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",33.0,",overall_accuracy, ",76.39393939393939,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",34.0,",overall_accuracy, ",76.41176470588236,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",35.0,",overall_accuracy, ",76.32857142857142,",step_accuracy, ",73.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",36.0,",overall_accuracy, ",76.23611111111111,",step_accuracy, ",73.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",37.0,",overall_accuracy, ",76.25675675675676,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",38.0,",overall_accuracy, ",76.21052631578948,",step_accuracy, ",74.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",39.0,",overall_accuracy, ",76.17948717948718,",step_accuracy, ",75.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",40.0,",overall_accuracy, ",76.225,",step_accuracy, ",78.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",41.0,",overall_accuracy, ",76.3170731707317,",step_accuracy, ",80.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",9,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f91aee05668>]]"
"batchId ,",42.0,",overall_accuracy, ",76.33333333333333,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",9,",",None
"batchId ,",43.0,",overall_accuracy, ",76.31395348837209,",step_accuracy, ",75.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",9,",",None
