"batchId ,",1.0,",overall_accuracy, ",78.0,",step_accuracy, ",78.0,",models, ","Counter({'MobileNet': 1, 'ResNet50V2': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1})",",",10,",",None
"batchId ,",2.0,",overall_accuracy, ",78.5,",step_accuracy, ",79.0,",models, ","Counter({'MobileNet': 1, 'ResNet50V2': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1})",",",9,",","[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3ccc08a5c0>)]"
"batchId ,",3.0,",overall_accuracy, ",77.33333333333333,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'ResNet50V2': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50': 1})",",",10,",",['ResNet50']
"batchId ,",4.0,",overall_accuracy, ",77.95,",step_accuracy, ",79.80000000000001,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50': 1})",",",9,",","[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3e146e8400>)]"
"batchId ,",5.0,",overall_accuracy, ",77.08,",step_accuracy, ",73.6,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",10,",",['ResNet50V2']
"batchId ,",6.0,",overall_accuracy, ",76.9,",step_accuracy, ",76.0,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",10,",",None
"batchId ,",7.0,",overall_accuracy, ",76.65714285714286,",step_accuracy, ",75.2,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",10,",",None
"batchId ,",8.0,",overall_accuracy, ",76.575,",step_accuracy, ",76.0,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",10,",",None
"batchId ,",9.0,",overall_accuracy, ",76.53333333333333,",step_accuracy, ",76.2,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",10,",",None
"batchId ,",10.0,",overall_accuracy, ",76.64,",step_accuracy, ",77.60000000000001,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",10,",",None
"batchId ,",11.0,",overall_accuracy, ",76.78181818181818,",step_accuracy, ",78.2,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",10,",",None
