"batchId ,",1.0,",overall_accuracy, ",77.8,",step_accuracy, ",77.8,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",2.0,",overall_accuracy, ",78.3,",step_accuracy, ",78.8,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",3.0,",overall_accuracy, ",77.2,",step_accuracy, ",75.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",4.0,",overall_accuracy, ",78.0,",step_accuracy, ",80.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",5.0,",overall_accuracy, ",77.16,",step_accuracy, ",73.8,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",6.0,",overall_accuracy, ",76.86666666666667,",step_accuracy, ",75.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",7.0,",overall_accuracy, ",76.65714285714286,",step_accuracy, ",75.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",8.0,",overall_accuracy, ",76.47500000000001,",step_accuracy, ",75.2,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",9.0,",overall_accuracy, ",76.4,",step_accuracy, ",75.8,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",10.0,",overall_accuracy, ",76.5,",step_accuracy, ",77.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",11.0,",overall_accuracy, ",76.6,",step_accuracy, ",77.60000000000001,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
