"batchId ,",1.0,",overall_accuracy, ",75.0,",step_accuracy, ",75.0,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1})",",",2,",","[('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3ab07e7470>)]"
"batchId ,",2.0,",overall_accuracy, ",73.75,",step_accuracy, ",72.5,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",3.0,",overall_accuracy, ",72.66666666666667,",step_accuracy, ",70.5,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",4.0,",overall_accuracy, ",70.625,",step_accuracy, ",64.5,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",3,",",['MobileNetV2']
"batchId ,",5.0,",overall_accuracy, ",71.0,",step_accuracy, ",72.5,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",3,",",None
"batchId ,",6.0,",overall_accuracy, ",71.33333333333334,",step_accuracy, ",73.0,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1})",",",2,",","[('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3ab0401f60>)]"
"batchId ,",7.0,",overall_accuracy, ",70.42857142857143,",step_accuracy, ",65.0,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'MobileNet': 1})",",",3,",",['MobileNet']
"batchId ,",8.0,",overall_accuracy, ",71.0625,",step_accuracy, ",75.5,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1})",",",2,",","[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f39c86bae48>]]"
"batchId ,",9.0,",overall_accuracy, ",71.44444444444444,",step_accuracy, ",74.5,",models, ",Counter({'InceptionV3': 1}),",",1,",","[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f39d0332ef0>]]"
"batchId ,",10.0,",overall_accuracy, ",71.1,",step_accuracy, ",68.0,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1})",",",2,",",['MobileNet']
"batchId ,",11.0,",overall_accuracy, ",70.86363636363636,",step_accuracy, ",68.5,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",3,",",['MobileNetV2']
"batchId ,",12.0,",overall_accuracy, ",70.66666666666667,",step_accuracy, ",68.5,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",3,",",None
"batchId ,",13.0,",overall_accuracy, ",70.8076923076923,",step_accuracy, ",72.5,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",3,",",None
"batchId ,",14.0,",overall_accuracy, ",70.60714285714286,",step_accuracy, ",68.0,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",3,",",None
"batchId ,",15.0,",overall_accuracy, ",70.86666666666666,",step_accuracy, ",74.5,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1})",",",2,",","[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f39c8353390>]]"
"batchId ,",16.0,",overall_accuracy, ",70.5625,",step_accuracy, ",66.0,",models, ","Counter({'InceptionV3': 1, 'MobileNetV2': 1, 'MobileNet': 1})",",",3,",",['MobileNet']
"batchId ,",17.0,",overall_accuracy, ",70.73529411764706,",step_accuracy, ",73.5,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1})",",",2,",","[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f399849bef0>]]"
"batchId ,",18.0,",overall_accuracy, ",70.33333333333334,",step_accuracy, ",63.5,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",3,",",['MobileNetV2']
"batchId ,",19.0,",overall_accuracy, ",70.39473684210526,",step_accuracy, ",71.5,",models, ","Counter({'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",3,",",None
"batchId ,",20.0,",overall_accuracy, ",70.6,",step_accuracy, ",74.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",","[('InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3b0c2452b0>)]"
"batchId ,",21.0,",overall_accuracy, ",70.35714285714286,",step_accuracy, ",65.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",22.0,",overall_accuracy, ",70.06818181818181,",step_accuracy, ",64.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",23.0,",overall_accuracy, ",70.17391304347827,",step_accuracy, ",72.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",24.0,",overall_accuracy, ",70.20833333333333,",step_accuracy, ",71.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
