Latency,Policy
501.511844,infaas
487.4316018,infaas
456.8741322,infaas
448.0997801,infaas
549.5844909,infaas
620.7189219,infaas
385.2779838,infaas
390.4707545,infaas
435.5483532,infaas
386.554718,infaas
467.6049437,infaas
333.0069518,infaas
350.4476209,infaas
447.0007684,infaas
390.5993832,infaas
259.9082674,infaas
338.5666779,infaas
406.9974413,infaas
293.5653528,infaas
355.2620941,infaas
323.2085705,infaas
366.5277958,infaas
330.0569057,infaas
314.8256901,infaas
326.8103004,infaas
399.91347,infaas
337.9497528,infaas
271.646704,infaas
389.0024253,infaas
321.6254711,infaas
394.5159545,infaas
404.7469563,infaas
396.9115151,infaas
307.6212747,infaas
534.5050948,infaas
397.7232307,infaas
287.6071533,infaas
401.8291103,infaas
341.1989212,infaas
372.7960322,infaas
351.2558937,infaas
400.9988705,infaas
338.9842327,infaas
350.7686456,infaas
296.8254089,infaas
352.6299,infaas
356.9474901,infaas
332.6401421,infaas
256.9480141,infaas
404.1131867,infaas
291.1682394,infaas
251.3276509,infaas
382.479293,infaas
330.205573,infaas
268.2506698,infaas
236.9904518,infaas
352.2657024,infaas
323.9036628,infaas
357.153813,infaas
341.4689965,infaas
332.6497008,infaas
309.1886044,infaas
304.4924471,infaas
258.5686275,infaas
536.5686757,infaas
414.5464897,infaas
347.0452695,infaas
270.4567313,infaas
307.8985479,infaas
242.3055172,infaas
252.7226039,infaas
420.0924124,infaas
277.9423197,infaas
424.0543418,infaas
365.0647004,infaas
350.5508218,infaas
335.0486226,infaas
380.98182,infaas
390.5676533,infaas
321.310401,infaas
397.4132273,infaas
367.4879074,infaas
311.0067844,infaas
443.525144,infaas
443.2049831,infaas
385.9325051,infaas
454.5897378,infaas
440.8714771,infaas
307.7417442,infaas
434.5002174,infaas
380.6573351,infaas
465.8472652,infaas
401.6051028,infaas
347.751273,infaas
301.9531454,infaas
828.25,cocktail
828.3436298,cocktail
430.4616451,cocktail
506.218195,cocktail
515.3825283,cocktail
145.680666,cocktail
145.0738907,cocktail
671.7147827,cocktail
427.3078442,cocktail
364.2878532,cocktail
372.3695278,cocktail
231.2581539,cocktail
234.3313694,cocktail
798.4223366,cocktail
324.5623112,cocktail
486.502409,cocktail
492.2060966,cocktail
195.9080696,cocktail
128.7834644,cocktail
673.6252308,cocktail
325.0436783,cocktail
