time,spot1,spot2,spot3,spot4
1,0.045,0.06,0.08,0.17
2,0.045,0.06,0.08,0.17
3,0.045,0.06,0.08,0.17
4,0.045,0.06,0.08,0.17
5,0.045,0.06,0.08,0.17
6,0.045,0.06,0.08,0.17
7,0.045,0.06,0.08,0.17
8,0.045,0.06,0.08,0.17
9,0.045,0.06,0.08,0.17
10,0.045,0.06,0.08,0.17
11,0.045,0.06,0.08,0.17
12,0.045,0.06,0.08,0.17
13,0.045,0.06,0.08,0.17
14,0.045,0.06,0.08,0.17
15,0.045,0.06,0.08,0.17
16,0.045,0.06,0.08,0.17
17,0.045,0.06,0.08,0.17
18,0.045,0.06,0.08,0.17
19,0.045,0.06,0.08,0.17
20,0.045,0.06,0.08,0.17
21,0.045,0.06,0.08,0.17
22,0.045,0.06,0.08,0.17
23,0.045,0.06,0.08,0.17
24,0.045,0.06,0.08,0.17
25,0.045,0.06,0.08,0.17
26,0.045,0.06,0.08,0.17
27,0.045,0.06,0.08,0.17
28,0.045,0.06,0.08,0.17
29,0.045,0.06,0.08,0.17
30,0.045,0.06,0.08,0.17
31,0.045,0.06,0.08,0.17
32,0.045,0.06,0.08,0.17
33,0.045,0.06,0.08,0.17
34,0.045,0.06,0.08,0.17
35,0.045,0.06,0.08,0.17
36,0.045,0.06,0.08,0.17
37,0.045,0.06,0.08,0.17
38,0.045,0.06,0.08,0.17
39,0.045,0.06,0.08,0.17
40,0.045,0.06,0.08,0.17
41,0.045,0.06,0.08,0.17
42,0.045,0.06,0.08,0.17
43,0.045,0.06,0.08,0.17
44,0.045,0.06,0.08,0.17
45,0.045,0.06,0.08,0.17
46,0.045,0.06,0.08,0.17
47,0.045,0.06,0.08,0.17
48,0.045,0.06,0.08,0.17
49,0.045,0.06,0.08,0.17
50,0.045,0.06,0.08,0.17
51,0.045,0.06,0.08,0.17
52,0.045,0.06,0.08,0.17
53,0.045,0.06,0.08,0.17
54,0.045,0.06,0.08,0.17
55,0.045,0.06,0.08,0.17
56,0.045,0.06,0.08,0.17
57,0.045,0.06,0.08,0.17
58,0.045,0.06,0.08,0.17
59,0.045,0.06,0.08,0.17
60,0.045,0.06,0.08,0.17
61,0.045,0.06,0.08,0.17
62,0.045,0.06,0.08,0.17
63,0.045,0.06,0.08,0.17
64,0.045,0.06,0.08,0.17
65,0.045,0.06,0.08,0.17
66,0.045,0.06,0.08,0.17
67,0.045,0.06,0.08,0.17
68,0.045,0.06,0.08,0.17
69,0.045,0.06,0.08,0.17
70,0.045,0.06,0.08,0.17
71,0.045,0.06,0.08,0.17
72,0.045,0.06,0.08,0.17
73,0.045,0.06,0.08,0.17
74,0.045,0.06,0.08,0.17
75,0.045,0.06,0.08,0.17
76,0.045,0.06,0.08,0.17
77,0.045,0.06,0.08,0.17
78,0.045,0.06,0.08,0.17
79,0.045,0.06,0.08,0.17
80,0.045,0.06,0.08,0.17
81,0.045,0.06,0.08,0.17
82,0.045,0.06,0.08,0.17
83,0.045,0.06,0.08,0.17
84,0.045,0.06,0.08,0.17
85,0.045,0.06,0.08,0.17
86,0.045,0.06,0.08,0.17
87,0.045,0.06,0.08,0.17
88,0.045,0.06,0.08,0.17
89,0.045,0.06,0.08,0.17
90,0.045,0.06,0.08,0.17
91,0.045,0.06,0.08,0.17
92,0.045,0.06,0.08,0.17
93,0.045,0.06,0.08,0.17
94,0.045,0.06,0.08,0.17
95,0.045,0.06,0.08,0.17
96,0.045,0.06,0.08,0.17
97,0.045,0.06,0.08,0.17
98,0.045,0.06,0.08,0.17
99,0.045,0.06,0.08,0.17
100,0.045,0.06,0.08,0.17
101,0.045,0.06,0.08,0.17
102,0.045,0.06,0.08,0.17
103,0.045,0.06,0.08,0.17
104,0.045,0.06,0.08,0.17
105,0.045,0.06,0.08,0.17
106,0.045,0.06,0.08,0.17
107,0.045,0.06,0.08,0.17
108,0.045,0.06,0.08,0.17
109,0.045,0.06,0.08,0.17
110,0.045,0.06,0.08,0.17
111,0.045,0.06,0.08,0.17
112,0.045,0.06,0.08,0.18
113,0.045,0.06,0.09,0.18
114,0.055,0.07,0.09,0.17
115,0.055,0.07,0.08,0.18
116,0.045,0.06,0.09,0.18
117,0.055,0.07,0.09,0.17
118,0.055,0.07,0.08,0.18
119,0.045,0.06,0.09,0.18
120,0.055,0.07,0.09,0.17
121,0.055,0.07,0.08,0.18
122,0.045,0.06,0.09,0.17
123,0.055,0.07,0.08,0.18
124,0.045,0.06,0.09,0.18
125,0.055,0.07,0.09,0.18
126,0.055,0.07,0.09,0.17
127,0.055,0.07,0.08,0.17
128,0.045,0.06,0.08,0.18
129,0.045,0.06,0.09,0.18
